Time,Input,Temperature,Set Point
0,0,23.875,60
2.4099440574645996,50,23.937,60
3.241964817047119,50,23.875,60
4.042022943496704,50,23.875,60
4.8419270515441895,50,23.937,60
5.641926288604736,50,23.875,60
6.441923379898071,50,23.875,60
7.2419273853302,50,23.875,60
8.073244333267212,50,23.875,60
8.873234510421753,50,23.937,60
9.673223733901978,50,23.875,60
10.473217248916626,50,23.937,60
11.305211305618286,50,23.875,60
12.10521388053894,50,23.875,60
12.905915260314941,50,23.875,60
13.705962419509888,50,23.875,60
14.569990634918213,50,23.875,60
15.369907140731812,50,23.937,60
16.16993284225464,50,23.875,60
16.969908714294434,50,23.875,60
17.769922494888306,50,23.937,60
18.569929361343384,50,23.937,60
19.401933193206787,50,23.937,60
20.233938694000244,50,23.937,60
21.03392004966736,50,23.937,60
21.865907907485962,50,23.937,60
22.665891647338867,50,23.937,60
23.465877056121826,50,23.875,60
24.26594352722168,50,23.875,60
25.066049098968506,50,23.875,60
25.897926092147827,50,23.937,60
26.698001861572266,50,23.937,60
